trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-83.21904103130572,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-13.646471927231069,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,18,4.488343709297034,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-143.76784431715774,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-90.76128950093627,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-45.25306038985234,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-47.13380672002275,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-41.63191998199081,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-172.7797412368428,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-72.2951253502314,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-81.46398719925853,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-25.80676903127945,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-60.097521631845666,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-30.45526266317261,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-118.53543849282673,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,-3.0636431413287233,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,1.885305423491312,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-15.779933779776693,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-145.72974642466025,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,18,5.069818033029163,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,14,7.348084066051699,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-12.404928154404004,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,6,-20.22125010896852,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,18,-33.10313467091772,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,-52.18611686325346,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-5.339660848758184,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,7.700700127123668,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,3,-17.937478817977546,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,9.237817837805112,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-5.39363904437576,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
